date,store_nbr,family,predicted
2017-08-16,44,GROCERY I,9299.327
2017-08-17,44,GROCERY I,8211.5
2017-08-18,44,GROCERY I,8782.19
2017-08-19,44,GROCERY I,12934.285
2017-08-20,44,GROCERY I,14263.329
2017-08-21,44,GROCERY I,8897.239
2017-08-22,44,GROCERY I,8414.39
2017-08-23,44,GROCERY I,8836.121
2017-08-24,44,GROCERY I,8264.7705
2017-08-25,44,GROCERY I,9147.383
2017-08-26,44,GROCERY I,11421.643
2017-08-27,44,GROCERY I,12041.289
2017-08-28,44,GROCERY I,8820.532
2017-08-29,44,GROCERY I,8389.71
2017-08-30,44,GROCERY I,9925.104
2017-08-31,44,GROCERY I,8920.069
2017-09-01,44,GROCERY I,8832.201
2017-09-02,44,GROCERY I,12987.124
2017-09-03,44,GROCERY I,14968.022
2017-09-04,44,GROCERY I,8926.715
2017-09-05,44,GROCERY I,8605.584
2017-09-06,44,GROCERY I,9178.975
2017-09-07,44,GROCERY I,8324.027
2017-09-08,44,GROCERY I,9025.938
2017-09-09,44,GROCERY I,14155.57
2017-09-10,44,GROCERY I,15988.6455
2017-09-11,44,GROCERY I,9482.826
2017-09-12,44,GROCERY I,9551.665
2017-09-13,44,GROCERY I,9360.921
2017-09-14,44,GROCERY I,8447.978
2017-08-16,45,GROCERY I,9540.238
2017-08-17,45,GROCERY I,7928.0913
2017-08-18,45,GROCERY I,10844.327
2017-08-19,45,GROCERY I,14386.645
2017-08-20,45,GROCERY I,16040.734
2017-08-21,45,GROCERY I,10924.931
2017-08-22,45,GROCERY I,9295.158
2017-08-23,45,GROCERY I,9165.796
2017-08-24,45,GROCERY I,8144.016
2017-08-25,45,GROCERY I,10428.138
2017-08-26,45,GROCERY I,11377.258
2017-08-27,45,GROCERY I,15595.127
2017-08-28,45,GROCERY I,9528.271
2017-08-29,45,GROCERY I,9503.796
2017-08-30,45,GROCERY I,9748.617
2017-08-31,45,GROCERY I,8804.179
2017-09-01,45,GROCERY I,11730.573
